SN,Paper Title,DOI,Authors,Author Regions,Affiliations,Year,Domain,Focus Region,Source,ORC ID
548,Auditing Radicalization Pathways on YouTube,https://doi.org/10.1145/3351095.3372879,Manoel Horta Ribeiro; Raphael Ottoni; Robert West; Virgílio Almeida; Wagner Meira,Switzerland; Brazil; Switzerland; Brazil; Brazil,École Polytechnique Fédérale de Lausanne; Universidade Federal de Minas Gerais; École Polytechnique Fédérale de Lausanne; Universidade Federal de Minas Gerais; Universidade Federal de Minas Gerais,2020,General Fairness & Bias Mitigation,,FAccT,
549,Differential Tweetment,https://doi.org/10.1145/3442188.3445875,Ari Ball-Burack; Michelle Seng Ah Lee; Jennifer Cobbe; Jatinder Singh,United Kingdom; United Kingdom; United Kingdom; United Kingdom,University of Cambridge; University of Cambridge; University of Cambridge; University of Cambridge,2021,General Fairness & Bias Mitigation,,FAccT,
550,Biases in Generative Art: A Causal Look from the Lens of Art History,https://doi.org/10.48550/arxiv.2010.13266,Ramya Srinivasan; Kanji Uchino,USA; USA,Fujitsu Research of America; Fujitsu Research of America,2021,LLMs & NLP,,FAccT,
551,Image Representations Learned With Unsupervised Pre-Training Contain Human-like Biases,https://doi.org/10.1145/3442188.3445932,Ryan Steed; Aylin Caliskan,USA; USA,Carnegie Mellon University; George Washington University,2021,General Fairness & Bias Mitigation,,FAccT,
552,"One Label, One Billion Faces: Usage and Consistency of Racial Categories in Computer Vision",https://doi.org/10.48550/arxiv.2102.02320,Zaid Khan; Yun Fu,USA; USA,Northeastern University; Northeastern University,2021,General Fairness & Bias Mitigation,,FAccT,
553,BOLD: Dataset and Metrics for Measuring Biases in Open-Ended Language Generation,https://doi.org/10.1145/3442188.3445924,Jwala Dhamala; Tony Sun; Varun Kumar; Satyapriya Krishna; Yada Pruksachatkun; Kai-Wei Chang; Rahul Gupta,USA; USA; USA; USA; USA; USA; USA,Amazon; University of California Santa Barbara; Amazon; Amazon; Amazon; Amazon; Amazon,2021,LLMs & NLP,,FAccT,
554,Towards Cross-Lingual Generalization of Translation Gender Bias,https://doi.org/10.1145/3442188.3445907,Won Ik Cho; Jiwon Kim; Jaeyeong Yang; Nam Soo Kim,South Korea; South Korea; South Korea; South Korea,Seoul National University; Seoul National University; Seoul National University; Seoul National University,2021,LLMs & NLP,,FAccT,
555,Algorithmic Fairness in Predicting Opioid Use Disorder using Machine Learning,https://doi.org/10.1145/3442188.3445891,Angela E. Kilby,USA,Northeastern University,2021,Health & Clinical AI,,FAccT,
556,Fairness Violations and Mitigation under Covariate Shift,https://doi.org/10.1145/3442188.3445865,Harvineet Singh; Rina Singh; Vishwali Mhasawade; Rumi Chunara,USA; USA; USA; USA,New York University; New York University; New York University; New York University,2021,General Fairness & Bias Mitigation,,FAccT,
557,Towards Fair Deep Anomaly Detection,https://doi.org/10.1145/3442188.3445878,Hongjing Zhang; Ian Davidson,USA; USA,University of California Davis; University of California Davis,2021,General Fairness & Bias Mitigation,,FAccT,
