University,Domain,Count
University of Portsmouth,Graph-Based Fairness & Bias Mitigation,1
University of Potsdam,Health & Clinical AI,1
University of Science and Technology of China,Recommender Systems,2
University of Sheffield,General Fairness & Bias Mitigation,1
University of South Carolina,Graph-Based Fairness & Bias Mitigation,1
University of South Florida,LLMs & NLP,1
University of Southampton,General Fairness & Bias Mitigation,1
University of Southern California,General Fairness & Bias Mitigation,2
University of Technology Malaysia,Health & Clinical AI,1
University of Texas at Austin,LLMs & NLP,1
University of Toronto,General Fairness & Bias Mitigation,1
University of Toronto,Health & Clinical AI,2
University of Tsukuba,Recommender Systems,1
University of Tübingen,General Fairness & Bias Mitigation,1
University of Utah,General Fairness & Bias Mitigation,1
University of Victoria,LLMs & NLP,1
University of Vienna,General Fairness & Bias Mitigation,1
University of Virginia,General Fairness & Bias Mitigation,1
University of Virginia,Graph-Based Fairness & Bias Mitigation,3
University of Virginia,LLMs & NLP,2
University of Washington,General Fairness & Bias Mitigation,7
University of Washington,LLMs & NLP,6
University of Washington,Recommender Systems,1
University of Washington Bothell,LLMs & NLP,1
University of West London,Health & Clinical AI,1
University of Wisconsin-Madison,General Fairness & Bias Mitigation,2
University of Wollongong,General Fairness & Bias Mitigation,1
University of Zurich,General Fairness & Bias Mitigation,6
University of the Aegean,Graph-Based Fairness & Bias Mitigation,2
Università di Camerino,Health & Clinical AI,1
Universität der Bundeswehr München,General Fairness & Bias Mitigation,1
Université de Toulouse,General Fairness & Bias Mitigation,1
Université du Québec à Montréal,General Fairness & Bias Mitigation,1
Utrecht University,General Fairness & Bias Mitigation,2
Utrecht University,Health & Clinical AI,1
Utrecht University,LLMs & NLP,1
Utrecht University,Recommender Systems,1
Vanderbilt University,Health & Clinical AI,1
Vanderbilt University,Recommender Systems,1
Vector Institute,Health & Clinical AI,1
VinUniversity,LLMs & NLP,1
Virginia Tech,General Fairness & Bias Mitigation,2
Virginia Tech,Health & Clinical AI,1
Volkswagen Group,General Fairness & Bias Mitigation,1
Vrije Universiteit Brussel,Recommender Systems,1
Walter Sisulu University,Health & Clinical AI,1
Washington University,General Fairness & Bias Mitigation,1
Washington University in St. Louis,General Fairness & Bias Mitigation,1
Washington University in St. Louis,LLMs & NLP,2
